epoch,step,train_loss,val_loss
0,4,,0.1620582789182663
0,4,0.13994379341602325,
1,9,,0.17787259817123413
1,9,0.10178752988576889,
2,14,,0.15674379467964172
2,14,0.08286531269550323,
3,19,,0.12275385111570358
3,19,0.07497698068618774,
4,24,,0.09636557102203369
4,24,0.0705895870923996,
5,29,,0.081350177526474
5,29,0.06730706989765167,
6,34,,0.07057390362024307
6,34,0.064617820084095,
7,39,,0.06523033231496811
7,39,0.0616464838385582,
8,44,,0.0646129921078682
8,44,0.05969883129000664,
9,49,,0.06279482692480087
9,49,0.057833995670080185,
10,54,,0.06019214168190956
10,54,0.056773461401462555,
11,59,,0.05823535844683647
11,59,0.05502656474709511,
12,64,,0.057946715503931046
12,64,0.05385800078511238,
13,69,,0.05733846127986908
13,69,0.052850738167762756,
14,74,,0.05568027123808861
14,74,0.0515659898519516,
15,79,,0.05463700741529465
15,79,0.05074942111968994,
16,84,,0.05344708263874054
16,84,0.04996740445494652,
17,89,,0.0512973889708519
17,89,0.04893459007143974,
18,94,,0.050581082701683044
18,94,0.04819723591208458,
19,99,,0.049531564116477966
19,99,0.04739527031779289,
20,104,,0.04924881085753441
20,104,0.046541981399059296,
21,109,,0.0483715794980526
21,109,0.04639388248324394,
22,114,,0.04723251238465309
22,114,0.04661010205745697,
23,119,,0.04729682207107544
23,119,0.04576941579580307,
24,124,,0.04734380543231964
24,124,0.0451226606965065,
25,129,,0.04946671053767204
25,129,0.044454798102378845,
26,134,,0.04572346433997154
26,134,0.043678056448698044,
27,139,,0.046428363770246506
27,139,0.04401952773332596,
28,144,,0.04445481300354004
28,144,0.04327281564474106,
29,149,,0.04452810436487198
29,149,0.043902602046728134,
30,154,,0.0443122424185276
30,154,0.042476680129766464,
31,159,,0.04338764771819115
31,159,0.04237933084368706,
32,164,,0.043471578508615494
32,164,0.04176056757569313,
33,169,,0.04314393177628517
33,169,0.04155226796865463,
34,174,,0.042724888771772385
34,174,0.04096008837223053,
35,179,,0.04218283295631409
35,179,0.04090959578752518,
36,184,,0.042198214679956436
36,184,0.04095517843961716,
37,189,,0.04386995732784271
37,189,0.04042550548911095,
38,194,,0.04458107054233551
38,194,0.04034063592553139,
39,199,,0.04260756075382233
39,199,0.0405564121901989,
40,204,,0.04203704744577408
40,204,0.03999233990907669,
41,209,,0.04123271256685257
41,209,0.03962733969092369,
42,214,,0.04176999628543854
42,214,0.039665840566158295,
43,219,,0.045298151671886444
43,219,0.03927149251103401,
44,224,,0.04088616371154785
44,224,0.03944747522473335,
45,229,,0.045070331543684006
45,229,0.03962771221995354,
46,234,,0.039770256727933884
46,234,0.03884918987751007,
47,239,,0.040617432445287704
47,239,0.0386250875890255,
48,244,,0.04084468260407448
48,244,0.038097213953733444,
49,249,,0.03914785385131836
49,249,0.03803705796599388,
