epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,1361,,,,,0.4763549566268921,1.412305235862732
0,1361,,,0.3614100515842438,1.6417388916015625,,
1,2723,,,,,0.48610854148864746,1.2418830394744873
1,2723,,,0.4620344340801239,1.3031320571899414,,
2,4085,,,,,0.4867286682128906,1.1899768114089966
2,4085,,,0.47264042496681213,1.2151094675064087,,
3,5447,,,,,0.48697102069854736,1.1380208730697632
3,5447,,,0.4769851565361023,1.164486289024353,,
4,6809,,,,,0.4870944917201996,1.0858036279678345
4,6809,,,0.4793608784675598,1.1109977960586548,,
5,8171,,,,,0.4871222674846649,1.0400513410568237
5,8171,,,0.4808591306209564,1.0609562397003174,,
6,9533,,,,,0.486784964799881,1.0132440328598022
6,9533,,,0.48146864771842957,1.0245800018310547,,
7,10895,,,,,0.48785093426704407,0.9923682808876038
7,10895,,,0.4821319282054901,1.0013151168823242,,
8,12257,,,,,0.4936063289642334,0.9706768989562988
8,12257,,,0.4852052330970764,0.9806510210037231,,
9,13619,,,,,0.503972053527832,0.9413745999336243
9,13619,,,0.49288082122802734,0.9556376338005066,,
10,14981,,,,,0.5159018635749817,0.9034322500228882
10,14981,,,0.504509449005127,0.9213588833808899,,
11,16343,,,,,0.5275649428367615,0.8639475107192993
11,16343,,,0.5163127779960632,0.8821263909339905,,
12,17705,,,,,0.5387844443321228,0.8268193006515503
12,17705,,,0.5276654362678528,0.8437962532043457,,
13,19067,,,,,0.5494874715805054,0.7912980318069458
13,19067,,,0.538594663143158,0.8075738549232483,,
14,20429,,,,,0.5595012903213501,0.7592939138412476
14,20429,,,0.5489457845687866,0.7736871242523193,,
15,21791,,,,,0.5688424110412598,0.7335993051528931
15,21791,,,0.5586289763450623,0.7448216676712036,,
16,23153,,,,,0.5775837302207947,0.7142453789710999
16,23153,,,0.5677654147148132,0.7225208282470703,,
17,24515,,,,,0.5857040882110596,0.7005762457847595
17,24515,,,0.5763441920280457,0.7060939073562622,,
18,25877,,,,,0.5931640267372131,0.6913116574287415
18,25877,,,0.5842729210853577,0.6948820948600769,,
19,27239,,,,,0.6000029444694519,0.684381365776062
19,27239,,,0.5915352702140808,0.6868646740913391,,
20,28601,,,,,0.6062781810760498,0.6787889003753662
20,28601,,,0.5981947183609009,0.6806254982948303,,
21,29963,,,,,0.612045407295227,0.674018144607544
21,29963,,,0.6043014526367188,0.6754148602485657,,
22,31325,,,,,0.6173412799835205,0.6698119044303894
22,31325,,,0.6099184155464172,0.6708760857582092,,
23,32687,,,,,0.6222245097160339,0.6660176515579224
23,32687,,,0.6151056885719299,0.6668192744255066,,
24,34049,,,,,0.6267480850219727,0.6625340580940247
24,34049,,,0.6199090480804443,0.6631122827529907,,
25,35411,,,,,0.6309431791305542,0.6593057513237
25,35411,,,0.6243718862533569,0.6596923470497131,,
26,36773,,,,,0.6348501443862915,0.6562872529029846
26,36773,,,0.6285328269004822,0.65650475025177,,
27,38135,,,,,0.6385061144828796,0.653444230556488
27,38135,,,0.6324234008789062,0.6535096764564514,,
28,39497,,,,,0.6419320106506348,0.6507627964019775
28,39497,,,0.6360716819763184,0.6506825685501099,,
29,40859,,,,,0.6451473832130432,0.6482148170471191
29,40859,,,0.6395044922828674,0.6479997038841248,,
30,40860,0.7347297072410583,0.6476495862007141,,,,
