epoch,step,train_acc,train_loss,val_acc,val_loss
0,39,,,0.6083250641822815,1.4393426179885864
0,39,0.8492000102996826,0.4264793395996094,,
1,79,,,0.616202712059021,1.4610016345977783
1,79,0.8619999885559082,0.3859579265117645,,
2,119,,,0.5959994792938232,1.581758975982666
2,119,0.879800021648407,0.3589034676551819,,
3,159,,,0.6038766503334045,1.6644715070724487
3,159,0.8713999390602112,0.3679468333721161,,
4,199,,,0.6021379828453064,1.5662617683410645
4,199,0.8688001036643982,0.37094950675964355,,
5,239,,,0.5895235538482666,1.6471704244613647
5,239,0.8884000182151794,0.3200947642326355,,
6,279,,,0.6148774027824402,1.6598519086837769
6,279,0.8906000852584839,0.31908416748046875,,
7,319,,,0.6088536381721497,1.6417911052703857
7,319,0.8971999287605286,0.3020484745502472,,
8,359,,,0.6145972609519958,1.678436040878296
8,359,0.88919997215271,0.31999471783638,,
9,399,,,0.5746073722839355,1.8454654216766357
9,399,0.8980000019073486,0.3003489375114441,,
10,439,,,0.6005943417549133,1.7723273038864136
10,439,0.884600043296814,0.33676818013191223,,
11,479,,,0.6153008341789246,1.7103869915008545
11,479,0.9019999504089355,0.28807365894317627,,
12,519,,,0.6126876473426819,1.7092978954315186
12,519,0.9095999598503113,0.2694689631462097,,
13,559,,,0.6035273671150208,1.7472145557403564
13,559,0.8953999876976013,0.284842312335968,,
14,599,,,0.6171948313713074,1.7855702638626099
14,599,0.9149999618530273,0.24351496994495392,,
15,639,,,0.609106183052063,1.8278836011886597
15,639,0.9301999807357788,0.20865629613399506,,
16,679,,,0.626322329044342,1.852224349975586
16,679,0.9169999957084656,0.2376239001750946,,
17,719,,,0.6178349852561951,1.8305420875549316
17,719,0.9219999313354492,0.22986383736133575,,
18,759,,,0.6125682592391968,1.9710842370986938
18,759,0.914199948310852,0.22986096143722534,,
19,799,,,0.6052026748657227,1.9129730463027954
19,799,0.917199969291687,0.23925960063934326,,
20,839,,,0.6119601726531982,1.9292587041854858
20,839,0.9249999523162842,0.21322689950466156,,
21,879,,,0.5926362872123718,2.1065995693206787
21,879,0.9352000951766968,0.19659797847270966,,
22,919,,,0.6031981706619263,1.8830965757369995
22,919,0.8673999905586243,0.3884828984737396,,
23,959,,,0.6174434423446655,1.9635961055755615
23,959,0.9284000396728516,0.21066659688949585,,
24,999,,,0.6199742555618286,2.039116621017456
24,999,0.9219999313354492,0.22547385096549988,,
25,1039,,,0.6153032779693604,2.0346336364746094
25,1039,0.9477999806404114,0.17049404978752136,,
26,1079,,,0.6047986745834351,1.9537855386734009
26,1079,0.9223998785018921,0.22087180614471436,,
27,1119,,,0.6099709868431091,2.1673834323883057
27,1119,0.9377999305725098,0.1853615790605545,,
28,1159,,,0.6067323088645935,2.114685535430908
28,1159,0.9368000626564026,0.18669354915618896,,
29,1199,,,0.6219033598899841,2.135568618774414
29,1199,0.9491999745368958,0.14943428337574005,,
30,1239,,,0.6092692613601685,2.139568328857422
30,1239,0.9460000991821289,0.15183182060718536,,
31,1279,,,0.6054666042327881,2.341236114501953
31,1279,0.9363999962806702,0.18080097436904907,,
32,1319,,,0.6094149947166443,2.2023236751556396
32,1319,0.9412000179290771,0.1729634702205658,,
33,1359,,,0.6072292923927307,2.3474597930908203
33,1359,0.9523999691009521,0.14561715722084045,,
34,1399,,,0.6036122441291809,2.3105618953704834
34,1399,0.9419999718666077,0.15048570930957794,,
35,1439,,,0.6073698997497559,2.353825569152832
35,1439,0.9585999846458435,0.13047245144844055,,
36,1479,,,0.6143845915794373,2.402050256729126
36,1479,0.9603999853134155,0.1165415495634079,,
37,1519,,,0.5926918983459473,2.4489951133728027
37,1519,0.9508000612258911,0.1458810716867447,,
38,1559,,,0.6007869839668274,2.4665253162384033
38,1559,0.9383999705314636,0.1737108677625656,,
39,1599,,,0.5901163220405579,2.397120952606201
39,1599,0.9465999603271484,0.15340791642665863,,
40,1639,,,0.5974825024604797,2.428586006164551
40,1639,0.9510000348091125,0.14108353853225708,,
41,1679,,,0.6046042442321777,2.404618978500366
41,1679,0.9637999534606934,0.1143464744091034,,
42,1719,,,0.5982027649879456,2.528473377227783
42,1719,0.9649999737739563,0.10802558809518814,,
43,1759,,,0.5974355936050415,2.60123872756958
43,1759,0.9611999988555908,0.1127597913146019,,
44,1799,,,0.6006354689598083,2.6815576553344727
44,1799,0.9673999547958374,0.10408911108970642,,
45,1839,,,0.6098737716674805,2.451207160949707
45,1839,0.9558000564575195,0.1277245283126831,,
46,1879,,,0.6222046613693237,2.5128085613250732
46,1879,0.9667999148368835,0.10411492735147476,,
47,1919,,,0.589925229549408,2.644759178161621
47,1919,0.9557999968528748,0.12678463757038116,,
48,1959,,,0.5999118685722351,2.5295145511627197
48,1959,0.9410000443458557,0.16165131330490112,,
49,1999,,,0.6038911938667297,2.534379482269287
49,1999,0.95660001039505,0.12296519428491592,,
